edad-media,  State-gov,  Bachelors,  Never-married,  Adm-clerical,  Not-in-family,  White,  Male, no, si, excesivo, nacional, n
adulto,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Divorced,  Handlers-cleaners,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  11th,  Married-civ-spouse,  Handlers-cleaners,  Husband,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Wife,  Black,  Female, si, si, excesivo, extranjero, n
edad-media,  Private,  Masters,  Married-civ-spouse,  Exec-managerial,  Wife,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  9th,  Married-spouse-absent,  Other-service,  Not-in-family,  Black,  Female, si, si, medio-tiempo, extranjero, n
adulto,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Masters,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, no, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  Black,  Male, si, si, excesivo, nacional, y
edad-media,  State-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, y
joven,  Private,  Bachelors,  Never-married,  Adm-clerical,  Own-child,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Assoc-acdm,  Never-married,  Sales,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, y
edad-media,  Private,  7th-8th,  Married-civ-spouse,  Transport-moving,  Husband,  Amer-Indian-Eskimo,  Male, si, si, excesivo, extranjero, n
edad-media,  Self-emp-not-inc,  HS-grad,  Never-married,  Farming-fishing,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  Unmarried,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  11th,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Masters,  Divorced,  Exec-managerial,  Unmarried,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Private,  Doctorate,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Private,  HS-grad,  Separated,  Other-service,  Unmarried,  Black,  Female, si, si, medio-tiempo, nacional, n
edad-media,  Federal-gov,  9th,  Married-civ-spouse,  Farming-fishing,  Husband,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  11th,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, no, excesivo, nacional, n
adulto,  Private,  HS-grad,  Divorced,  Tech-support,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
adulto,  Local-gov,  Bachelors,  Married-civ-spouse,  Tech-support,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  Private,  HS-grad,  Never-married,  Craft-repair,  Own-child,  White,  Male, si, si, excesivo, nacional, n
adulto,  ?,  Some-college,  Married-civ-spouse,  ?,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, y
edad-media,  Private,  HS-grad,  Divorced,  Exec-managerial,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Local-gov,  Assoc-acdm,  Never-married,  Protective-serv,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Sales,  Own-child,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Divorced,  Exec-managerial,  Own-child,  White,  Male, si, no, excesivo, nacional, n
edad-media,  Federal-gov,  Some-college,  Married-civ-spouse,  Adm-clerical,  Own-child,  White,  Male, si, si, excesivo, nacional, n
joven,  State-gov,  Some-college,  Married-civ-spouse,  Other-service,  Husband,  Black,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  11th,  Never-married,  Machine-op-inspct,  Unmarried,  White,  Male, si, si, excesivo, extranjero, n
joven,  Private,  Some-college,  Never-married,  Machine-op-inspct,  Own-child,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Married-AF-spouse,  Adm-clerical,  Wife,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, tiempo-completo, extranjero, y
edad-media,  Self-emp-not-inc,  Assoc-acdm,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  9th,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Bachelors,  Married-civ-spouse,  Tech-support,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Separated,  Adm-clerical,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  Not-in-family,  White,  Male, si, si, tiempo-completo, nacional, n
adulto,  Federal-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  Black,  Male, si, si, excesivo, nacional, y
adulto,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Masters,  Divorced,  Exec-managerial,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  State-gov,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Never-married,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
