(n,[(edad,edad-media),(workclass, State-gov),(educacion, Bachelors),(marital-status, Never-married),(ocupacion, Adm-clerical),(relacion, Not-in-family),(raza, White),(sexo, Male),(capital-gain,no),(capital-loss,si),(horas-por-semana,excesivo),(pais,nacional)]),
(n,[(edad,adulto),(workclass, Self-emp-not-inc),(educacion, Bachelors),(marital-status, Married-civ-spouse),(ocupacion, Exec-managerial),(relacion, Husband),(raza, White),(sexo, Male),(capital-gain,si),(capital-loss,si),(horas-por-semana,medio-tiempo),(pais,nacional)]),
(n,[(edad,edad-media),(workclass, Private),(educacion, HS-grad),(marital-status, Divorced),(ocupacion, Handlers-cleaners),(relacion, Not-in-family),(raza, White),(sexo, Male),(capital-gain,si),(capital-loss,si),(horas-por-semana,excesivo),(pais,nacional)]),
(n,[(edad,adulto),(workclass, Private),(educacion, 11th),(marital-status, Married-civ-spouse),(ocupacion, Handlers-cleaners),(relacion, Husband),(raza, Black),(sexo, Male),(capital-gain,si),(capital-loss,si),(horas-por-semana,excesivo),(pais,nacional)]),
(n,[(edad,edad-media),(workclass, Private),(educacion, Bachelors),(marital-status, Married-civ-spouse),(ocupacion, Prof-specialty),(relacion, Wife),(raza, Black),(sexo, Female),(capital-gain,si),(capital-loss,si),(horas-por-semana,excesivo),(pais,extranjero)]),
(n,[(edad,edad-media),(workclass, Private),(educacion, Masters),(marital-status, Married-civ-spouse),(ocupacion, Exec-managerial),(relacion, Wife),(raza, White),(sexo, Female),(capital-gain,si),(capital-loss,si),(horas-por-semana,excesivo),(pais,nacional)]),
(n,[(edad,edad-media),(workclass, Private),(educacion, 9th),(marital-status, Married-spouse-absent),(ocupacion, Other-service),(relacion, Not-in-family),(raza, Black),(sexo, Female),(capital-gain,si),(capital-loss,si),(horas-por-semana,medio-tiempo),(pais,extranjero)]),
(y,[(edad,adulto),(workclass, Self-emp-not-inc),(educacion, HS-grad),(marital-status, Married-civ-spouse),(ocupacion, Exec-managerial),(relacion, Husband),(raza, White),(sexo, Male),(capital-gain,si),(capital-loss,si),(horas-por-semana,excesivo),(pais,nacional)]),
(y,[(edad,edad-media),(workclass, Private),(educacion, Masters),(marital-status, Never-married),(ocupacion, Prof-specialty),(relacion, Not-in-family),(raza, White),(sexo, Female),(capital-gain,no),(capital-loss,si),(horas-por-semana,excesivo),(pais,nacional)]),
(y,[(edad,edad-media),(workclass, Private),(educacion, Bachelors),(marital-status, Married-civ-spouse),(ocupacion, Exec-managerial),(relacion, Husband),(raza, White),(sexo, Male),(capital-gain,no),(capital-loss,si),(horas-por-semana,excesivo),(pais,nacional)]),
(y,[(edad,edad-media),(workclass, Private),(educacion, Some-college),(marital-status, Married-civ-spouse),(ocupacion, Exec-managerial),(relacion, Husband),(raza, Black),(sexo, Male),(capital-gain,si),(capital-loss,si),(horas-por-semana,excesivo),(pais,nacional)]),
