(n,[(age,39),(workclass, State-gov),(fnlwgt, 77516),(education, Bachelors),(education-num, 13),(marital-status, Never-married),(occupation, Adm-clerical),(relationship, Not-in-family),(race, White),(sex, Male),(capital-gain, 2174),(capital-loss, 0),(hours-per-week, 40),(pais, United-States)]),
(n,[(age,50),(workclass, Self-emp-not-inc),(fnlwgt, 83311),(education, Bachelors),(education-num, 13),(marital-status, Married-civ-spouse),(occupation, Exec-managerial),(relationship, Husband),(race, White),(sex, Male),(capital-gain, 0),(capital-loss, 0),(hours-per-week, 13),(pais, United-States)]),
(n,[(age,38),(workclass, Private),(fnlwgt, 215646),(education, HS-grad),(education-num, 9),(marital-status, Divorced),(occupation, Handlers-cleaners),(relationship, Not-in-family),(race, White),(sex, Male),(capital-gain, 0),(capital-loss, 0),(hours-per-week, 40),(pais, United-States)]),
(n,[(age,53),(workclass, Private),(fnlwgt, 234721),(education, 11th),(education-num, 7),(marital-status, Married-civ-spouse),(occupation, Handlers-cleaners),(relationship, Husband),(race, Black),(sex, Male),(capital-gain, 0),(capital-loss, 0),(hours-per-week, 40),(pais, United-States)]),
(n,[(age,28),(workclass, Private),(fnlwgt, 338409),(education, Bachelors),(education-num, 13),(marital-status, Married-civ-spouse),(occupation, Prof-specialty),(relationship, Wife),(race, Black),(sex, Female),(capital-gain, 0),(capital-loss, 0),(hours-per-week, 40),(pais, Cuba)]),
(n,[(age,37),(workclass, Private),(fnlwgt, 284582),(education, Masters),(education-num, 14),(marital-status, Married-civ-spouse),(occupation, Exec-managerial),(relationship, Wife),(race, White),(sex, Female),(capital-gain, 0),(capital-loss, 0),(hours-per-week, 40),(pais, United-States)]),
(n,[(age,49),(workclass, Private),(fnlwgt, 160187),(education, 9th),(education-num, 5),(marital-status, Married-spouse-absent),(occupation, Other-service),(relationship, Not-in-family),(race, Black),(sex, Female),(capital-gain, 0),(capital-loss, 0),(hours-per-week, 16),(pais, Jamaica)]),
(y,[(age,52),(workclass, Self-emp-not-inc),(fnlwgt, 209642),(education, HS-grad),(education-num, 9),(marital-status, Married-civ-spouse),(occupation, Exec-managerial),(relationship, Husband),(race, White),(sex, Male),(capital-gain, 0),(capital-loss, 0),(hours-per-week, 45),(pais, United-States)]),
(y,[(age,31),(workclass, Private),(fnlwgt, 45781),(education, Masters),(education-num, 14),(marital-status, Never-married),(occupation, Prof-specialty),(relationship, Not-in-family),(race, White),(sex, Female),(capital-gain, 14084),(capital-loss, 0),(hours-per-week, 50),(pais, United-States)]),
(y,[(age,42),(workclass, Private),(fnlwgt, 159449),(education, Bachelors),(education-num, 13),(marital-status, Married-civ-spouse),(occupation, Exec-managerial),(relationship, Husband),(race, White),(sex, Male),(capital-gain, 5178),(capital-loss, 0),(hours-per-week, 40),(pais, United-States)]),
(y,[(age,37),(workclass, Private),(fnlwgt, 280464),(education, Some-college),(education-num, 10),(marital-status, Married-civ-spouse),(occupation, Exec-managerial),(relationship, Husband),(race, Black),(sex, Male),(capital-gain, 0),(capital-loss, 0),(hours-per-week, 80),(pais, United-States)]),
